epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,21858.2,1.10923,2.06317,1.11818,0.01403,0.9248,0.87386,0.83574,0.88951,0.61267,0.77319,0.72945,0.72815,0.42021,1.16056,2.60615,0.74082,0.02437,0,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,22201.1,1.10585,2.05972,1.12012,0.01405,0.92392,0.87477,0.83714,0.89065,0.61421,0.77094,0.7315,0.72801,0.42123,1.15862,2.60633,0.73643,0.0243,0,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,22543.3,1.10369,2.05492,1.09951,0.01404,0.91305,0.87615,0.83536,0.89241,0.61536,0.77214,0.73089,0.72987,0.42226,1.15528,2.61024,0.73223,0.02424,0,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,22886.3,1.09757,2.04001,1.08844,0.01387,0.90501,0.8778,0.83642,0.89432,0.61718,0.77801,0.72938,0.73137,0.42348,1.15211,2.61241,0.72812,0.02417,0,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,23232.2,1.09877,2.05449,1.09633,0.01389,0.91357,0.8741,0.84139,0.89581,0.61813,0.77017,0.73654,0.73308,0.42433,1.14817,2.61903,0.7272,0.02406,0,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,23577.7,1.08988,2.02729,1.0871,0.01366,0.88732,0.88071,0.83977,0.8965,0.61882,0.77827,0.73413,0.7366,0.42562,1.14572,2.61957,0.72697,0.02399,0,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,23922.6,1.08592,2.01914,1.07285,0.01375,0.88124,0.87923,0.839,0.89798,0.62,0.77742,0.73525,0.73998,0.42754,1.14277,2.6202,0.72553,0.02393,0,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,24268.4,1.08965,2.03047,1.06799,0.0137,0.88061,0.88288,0.8369,0.89856,0.62088,0.78787,0.7335,0.74151,0.4283,1.14206,2.62034,0.72019,0.0239,0,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,24614.2,1.07434,2.00088,1.05443,0.01342,0.86348,0.88582,0.83816,0.89919,0.6225,0.78802,0.73493,0.74383,0.42909,1.13948,2.61944,0.71765,0.02385,0,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,24958.6,1.07204,1.99677,1.03739,0.01349,0.85552,0.88401,0.83749,0.9,0.62483,0.79363,0.7308,0.74496,0.43144,1.13714,2.62093,0.7151,0.02377,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
